customer_id,month,data_usage,phone_usage,use_app
10000,1/01/2021,43.61,4570.12,1
10001,1/01/2021,2.07,2038.61,0
10002,1/01/2021,45.69,1786.97,1
10003,1/01/2021,45.7,2450.95,1
10004,1/01/2021,15.28,4627.57,1
10005,1/01/2021,11.19,1384.43,1
10006,1/01/2021,29.85,1735.04,0
10007,1/01/2021,30.61,3267.57,0
10008,1/01/2021,52.95,854.03,1
10009,1/01/2021,22.66,504.26,1
10010,1/01/2021,83.67,2445.16,1
10011,1/01/2021,3.65,830.59,0
10012,1/01/2021,9.29,4895.47,1
10013,1/01/2021,46.54,1294.14,1
10014,1/01/2021,23.47,3838.4,1
10015,1/01/2021,57.38,4438.21,1
10016,1/01/2021,18.11,2598.37,1
10017,1/01/2021,100.04,683.21,1
10018,1/01/2021,15.93,4176.2,1
10019,1/01/2021,10.95,2424.89,0
10020,1/01/2021,21.35,2696.44,0
10021,1/01/2021,14.02,514.72,1
10022,1/01/2021,16.9,1681.46,1
10023,1/01/2021,22.27,2428.24,1
10024,1/01/2021,79.51,4756.33,0
10025,1/01/2021,7.48,4658.28,1
10026,1/01/2021,42,411.86,1
10027,1/01/2021,85.86,4109.5,1
10028,1/01/2021,28.69,3342.42,0
10029,1/01/2021,9.37,1247.85,1
10030,1/01/2021,50.31,2515.34,1
10031,1/01/2021,96.18,369.86,0
10032,1/01/2021,95.85,3842.32,1
10033,1/01/2021,10.2,4524.38,1
10034,1/01/2021,69.78,2265.2,0
10035,1/01/2021,11.92,4866.37,0
10036,1/01/2021,27.03,4682.59,1
10037,1/01/2021,36.8,1535.82,1
10038,1/01/2021,26.05,401.04,0
10039,1/01/2021,58.35,3277.86,1
10040,1/01/2021,25.19,2396.63,0
10041,1/01/2021,23.19,3931.77,0
10042,1/01/2021,3.23,486.24,1
10043,1/01/2021,21.43,3286.56,0
10044,1/01/2021,47.07,2591.46,1
10045,1/01/2021,27.1,4977.92,1
10046,1/01/2021,2.05,1798.62,1
10047,1/01/2021,87.28,3996.6,0
10048,1/01/2021,49.13,1121.76,1
10049,1/01/2021,20.13,468.48,1
10050,1/01/2021,41.03,1640.94,0
10051,1/01/2021,33.42,552.85,1
10052,1/01/2021,19.07,4684.85,1
10053,1/01/2021,28.7,2328.26,1
10054,1/01/2021,16.75,1322.28,1
10055,1/01/2021,6.38,207.9,1
10056,1/01/2021,24.63,3819.07,1
10057,1/01/2021,23.03,4161.41,0
10058,1/01/2021,4.12,2852.02,0
10059,1/01/2021,8.31,3879.38,1
10060,1/01/2021,41.57,2706.47,1
10061,1/01/2021,32.49,1143.93,1
10062,1/01/2021,50.1,949.88,1
10063,1/01/2021,51.34,3003.69,1
10064,1/01/2021,9.1,2306.3,0
10065,1/01/2021,5.48,4821.42,1
10066,1/01/2021,18.91,2625.68,1
10067,1/01/2021,41.35,1096.91,1
10068,1/01/2021,5.32,2063.96,0
10069,1/01/2021,28.65,2816.93,1
10070,1/01/2021,65.5,3346.24,1
10071,1/01/2021,32.15,3125.48,1
10072,1/01/2021,83.82,3858.46,1
10073,1/01/2021,46.61,4763.22,1
10074,1/01/2021,2.91,1194.42,1
10075,1/01/2021,45.12,206.07,1
10076,1/01/2021,27.94,4612.33,1
10077,1/01/2021,33.81,1580.49,1
10078,1/01/2021,13.77,3374.19,1
10079,1/01/2021,17.29,3000.14,0
10080,1/01/2021,20.11,4904.96,1
10081,1/01/2021,46.11,3638.35,1
10082,1/01/2021,55.59,1449.67,1
10083,1/01/2021,30.76,742.28,1
10084,1/01/2021,86.3,2613.89,1
10085,1/01/2021,14.06,1375.89,1
10086,1/01/2021,9.43,697.62,1
10087,1/01/2021,59.57,2969.63,1
10088,1/01/2021,4.77,1971.65,1
10089,1/01/2021,25.89,893.84,1
10090,1/01/2021,22.36,1856.07,1
10091,1/01/2021,12.14,3687.25,1
10092,1/01/2021,5.33,2890.79,1
10093,1/01/2021,12.94,1340.84,0
10094,1/01/2021,25.2,1256.05,0
10095,1/01/2021,39.99,3511.44,1
10096,1/01/2021,23.04,1143.22,1
10097,1/01/2021,24.57,4405.45,0
10098,1/01/2021,18.88,508.21,1
10099,1/01/2021,20.45,4274.91,1
10100,1/01/2021,7.98,1258.68,0
10101,1/01/2021,28.37,358.35,1
10102,1/01/2021,12.24,709.16,1
10103,1/01/2021,6.33,2866.79,0
10104,1/01/2021,49.8,1013.96,0
10105,1/01/2021,12.82,3184.26,1
10106,1/01/2021,6.16,3566.49,1
10107,1/01/2021,7.3,3357.46,1
10108,1/01/2021,51.17,3330.22,0
10109,1/01/2021,91.97,3460.9,0
10110,1/01/2021,25.06,2739.68,0
10111,1/01/2021,26.33,1384.29,1
10112,1/01/2021,104.18,4939.51,1
10113,1/01/2021,30.92,2183.89,0
10114,1/01/2021,60.78,1449.06,1
10115,1/01/2021,45.54,4005.46,0
10116,1/01/2021,24.31,4825.9,0
10117,1/01/2021,9.13,2576.97,1
10118,1/01/2021,24.31,2530.89,1
10119,1/01/2021,37.16,4593.72,1
10120,1/01/2021,11.31,4432.45,1
10121,1/01/2021,28.01,1062.5,0
10122,1/01/2021,52.11,375.93,1
10123,1/01/2021,105,732.52,1
10124,1/01/2021,86.85,4031.45,1
10125,1/01/2021,13.78,2623.77,0
10126,1/01/2021,41.28,3052.72,1
10127,1/01/2021,27.53,3822.01,1
10128,1/01/2021,54.17,3794.6,1
10129,1/01/2021,6.14,4361.27,1
10130,1/01/2021,62.71,542.64,0
10131,1/01/2021,23.95,1620.85,1
10132,1/01/2021,9.21,4799.83,1
10133,1/01/2021,21.67,246.77,0
10134,1/01/2021,10.63,1909.04,1
10135,1/01/2021,48.86,1417.37,1
10136,1/01/2021,58.53,3656.97,0
10137,1/01/2021,48.87,4618,1
10138,1/01/2021,26.31,2580.83,1
10139,1/01/2021,31.46,2394.62,1
