customer_id,birth_date,join_date,plan_type,churn_in_3mos
10000,1994-08-13,2015-11-22,postpaid,0
10001,1994-06-25,2015-01-12,pay-as-you-go,1
10002,2008-06-10,2020-05-22,prepaid,0
10003,1970-09-04,2017-11-10,prepaid,0
10004,1969-11-06,2019-05-19,prepaid,0
10005,1994-06-20,2015-02-12,prepaid,0
10006,1978-11-22,2018-04-18,prepaid,0
10007,1989-08-01,2012-12-31,prepaid,0
10008,1986-03-29,2013-11-18,postpaid,0
10009,2007-05-16,2017-05-26,prepaid,0
10010,1987-11-12,2013-06-04,postpaid,0
10011,2006-11-07,2016-04-29,prepaid,0
10012,2004-03-16,2018-02-04,prepaid,1
10013,1991-12-10,2012-10-19,prepaid,0
10014,1999-05-29,2014-10-18,pay-as-you-go,0
10015,1967-01-22,2019-03-11,prepaid,0
10016,1993-09-25,2014-05-11,postpaid,0
10017,1962-09-21,2013-08-04,postpaid,0
10018,1999-10-19,2015-06-05,postpaid,0
10019,1971-02-22,2012-06-26,prepaid,1
10020,1975-03-06,2017-11-09,prepaid,0
10021,1997-06-30,2012-05-21,prepaid,1
10022,1983-01-26,2013-02-07,prepaid,0
10023,1973-02-05,2017-02-20,prepaid,0
10024,2006-12-24,2016-11-30,postpaid,0
10025,1982-10-07,2018-11-02,prepaid,0
10026,1980-04-19,2013-09-04,prepaid,1
10027,1989-02-17,2017-02-17,postpaid,0
10028,2002-08-31,2019-01-15,pay-as-you-go,1
10029,1975-12-06,2014-04-27,prepaid,0
10030,1978-06-02,2015-08-19,prepaid,0
10031,2000-05-22,2012-11-24,postpaid,1
10032,2003-12-19,2014-03-21,postpaid,0
10033,1974-10-26,2014-05-17,prepaid,0
10034,1978-12-24,2016-01-18,postpaid,0
10035,2004-09-16,2015-10-07,prepaid,1
10036,2007-12-13,2020-03-06,postpaid,0
10037,2000-12-17,2018-09-08,prepaid,1
10038,1982-11-25,2019-03-21,pay-as-you-go,1
10039,2005-04-03,2017-11-27,prepaid,0
10040,1978-12-27,2013-10-13,pay-as-you-go,0
10041,2001-07-12,2015-11-17,prepaid,0
10042,1962-03-11,2020-05-13,prepaid,1
10043,1986-04-15,2014-03-16,prepaid,0
10044,1969-05-16,2020-01-14,prepaid,1
10045,1975-08-01,2014-06-06,prepaid,0
10046,1987-12-16,2015-07-07,pay-as-you-go,0
10047,1998-10-12,2015-07-10,postpaid,1
10048,1992-12-18,2018-02-19,prepaid,0
10049,1995-10-20,2017-12-09,postpaid,1
10050,2001-08-04,2019-02-02,prepaid,0
10051,1999-08-25,2017-11-17,prepaid,0
10052,1980-10-07,2019-08-24,prepaid,0
10053,2008-09-20,2018-10-04,prepaid,0
10054,1980-05-01,2017-11-06,pay-as-you-go,0
10055,1966-02-04,2012-01-10,postpaid,0
10056,2000-12-13,2020-02-23,prepaid,0
10057,1975-01-15,2013-09-13,prepaid,0
10058,1970-12-30,2019-12-28,prepaid,0
10059,2008-06-13,2016-11-23,prepaid,1
10060,1987-05-28,2016-02-08,prepaid,1
10061,1978-05-16,2014-11-28,prepaid,0
10062,2001-03-03,2019-10-19,postpaid,1
